id,Title,Content
5897,"Test event - Campus and Community Planning","This is a test event description."
5923,"Dinosaur Teeth are Way Cool because...","Did you know that dinosaurs could continuously replace their teeth throughout their lives, and some had hundreds of teeth in their mouths at one time? Join Dr. Kirstin Brink to examine dinosaur teeth in detail and learn how comparisons between fossils and living animals can help understand the diets, lifestyles, and evolution of extinct animals.

Included with museum admission or membership."
5941,"UTown@UBC Nature Club","Drop in between 10:30 am – 1:00 pm the first Sunday of the month to enjoy special ecosystem activities for families plus all of our regular museum programming, Raising Big Blue movie, museum tours, and more!

These drop-in sessions are FREE for UNA residents and are designed for children 5-12 years old accompanied by an adult (not suitable for preschool-aged children).

<a href=""https://www.eventbrite.ca/e/utown-ubc-nature-club-2018-2019-tickets-48248059244"">Pre-register here to guarantee your spot</a> at these activities!"
5945,"Beaty Nocturnal: A Botanical Time Machine","<strong>What’s it like to be a botanist? Come and find out at a very special Nocturnal, where we will explore the museum’s herbarium collection with curator Linda Jennings. </strong>

Come in out of the January cold for an evening, and learn about how our century old collection is organized, cared for, and used by thousands of scientists!

You will also discover which plants to look out for during the winter time; around campus and in the forest, parks and city streets of Vancouver.

The museum will be open from 5pm – 8:30pm.

<em>Admission by donation.</em>"
5953,"Corallines are Way Cool because...","Corallines are diverse, abundant, and charismatic seaweeds found in a range of marine habitats worldwide.  Some coralline species grow as crusts, and can act as the “cement” holding large reef structures together.

Dr. Kyra Janot is a newly minted PhD, excited to share her coralline enthusiasm with the world!

Talk included with museum admission or membership."
6160,"New Acquisitions Exhibit","UBC Library’s Music Art and Architecture (MAA) Library and Rare Books and Special Collections (RBSC) are celebrating the new year with an exhibit showcasing a selection of new acquisitions from 2018.

Explore MAA Library’s selections, representing all of its subject areas, and RBSC’s acquisition highlights that include items dating from the 16<sup>th</sup> century to 2018. The exhibit will be on display until Wednesday, February 27 on the level 2 of the Irving K. Barber Learning Centre.

<a href=""http://UBC's Music Art and Architecture Library &amp; Rare Books and Special Collections are celebrating 2019 by showcasing a selection of acquisitions from 2018 with a new exhibit. Visit the displays until Feb 27 on level 2 of the Irving K. Barber Learning Centre: https://ikblc.ubc.ca/2018-new-acquisitions/"">Learn more</a>"
6218,"Movie Night - Incredibles 2","Bring the whole family to the Old Barn on the first Saturday of every month for Family Movie Night! $2 admission. Popcorn, snacks, and drinks are available for sale, cash only. Chairs will be provided but feel free to bring your blankets and pillows. Parents must accompany their children. Doors open at 6 pm, movie starts at 6:30 pm.

This month we are watching <strong>Incredibles 2</strong>!"
6221,"Movie Night - Christopher Robin","Bring the whole family to the Old Barn on the first Saturday of every month for Family Movie Night! $2 admission. Popcorn, snacks, and drinks are available for sale, cash only. Chairs will be provided but feel free to bring your blankets and pillows. Parents must accompany their children. Doors open at 6 pm, movie starts at 6:30 pm.

This month we are watching <strong>Christopher Robin</strong>!"
6239,"Kids Takeover UBC",
6240,"Treehoppers are Way Cool because...","Treehoppers are peculiar insects that wear a 'helmet' on their bodies and hire ants as bodyguards! Find out how they've adapted to spread from the lush Amazonian jungle to right here in Vancouver at this exciting talk for all ages.

Luis Camacho is an Ecuadorian naturalist studying at UBC, and keen to share the weird and wonderful world of treehoppers with you!

Talk included with museum admission or membership."
6254,Thunderstruck,"<strong>Get your tickets to THUNDERSTRUCK - </strong>a festival event presented by the UBC Thunderbirds + The Calendar + AMS Events + UBC Birdcage

Thunderstruck is our annual event highlighting women in sports to celebrate and acknowledge their achievements as well as to remind ourselves of the ongoing dialogue of gender equality in the competitive sports community. This year, Thunderstruck will feature our <strong>UBC Women's Volleyball team </strong>as they battle for playoff positioning in the Canada West 2019 Championships.

<article><strong>Event Details:</strong></article>
<table>
<tbody>
<tr>
<td colspan=""2"">Friday, February 8</td>
</tr>
<tr>
<td colspan=""2"">UBC Thunderbirds vs Winnipeg Wesmen</td>
</tr>
<tr>
<td>Doors &amp; festival zone open @ 5:00 pm
Game starts @ 7:00 pm</td>
</tr>
</tbody>
</table>
&nbsp;

Our mission is to have a sell out crowd, packing War Memorial Gym, and showing our Winnipeg opponents just how much pride we have in our women's volleyball team.

Come early for our pre-game festival on the War Memorial Gym concourse and enjoy lots of extra fun and goodies throughout the evening:
<ul>
 	<li>Contesting and prizes (stay tuned for details)</li>
 	<li>Live half time shows</li>
 	<li>Entertainment during breaks in play</li>
 	<li>Photo ops with our T-Bird Mascot 'Thunder'</li>
 	<li>Face painting &amp; poster making stations</li>
 	<li>Live DJs</li>
 	<li>Food &amp; drinks</li>
</ul>
<article>Ticket Prices:</article>$15 Adults
$10 Youth <em>(ages 6 - 17)</em>
$10 Concessions <em>(Senior (65+), UBC Staff/Faculty, UBC Alumni, UNA, visiting student)</em>
$7 UBC Students
$45 Family Pack (2 adults, 2 youth)
Free for kids 5 and under"
6267,"Kids Take Over UBC","<h2>Step aside, grown-ups – the kids are back in business at this awesome arts festival. Buy your Family Pass <a href=""http://ubcplanning.universitytickets.com/user_pages/event.asp?id=191&amp;cid=33"">here</a>!</h2>
Celebrate Family Day weekend by bringing your entire family to UBC on <strong>Sunday, February 17</strong>. Kids and youth will take on adult-sized roles, working alongside staff and volunteers to participate and promote arts and culture at UBC. Takeover Day, first launched in the UK, is a celebration of children and young people’s contributions to museums, galleries, arts organizations, archives and heritage sites.

Fredric Wood Theatre: Theatre Lab

First Nations House of Learning: Longhouse Adventure

Museum of Anthropology: Culture Kids - discussions, music and movement, hands-on workshops

Old Auditorium: Fairytale characters + stage tours + dress-up

Belkin Art Gallery: When First there was Light in the World. The Story of Two Wolves.

School of Music: Instrument Petting Zoo and Family Friendly Concert

Doug Mitchell Arena: Family hockey and public skate

Kid-friendly food trucks, photobooths, Thunderbird marching band, crafts, prizes and more!"
6280,"UBC Triathlon/Duathlon","Date

<span class=""date-display-single"">March 7, 2020 - <span class=""date-display-range""><span class=""date-display-start"">07:00</span> to <span class=""date-display-end"">16:00</span></span></span>

Location
<div class=""location"">University Blvd, Main Mall, Stadium Road, around Thunderbird Stadium, Marine Drive, East Mall, West 16th Avenue</div>
To print the event details and map, click <a href=""https://planning.ubc.ca//sites/planning.ubc.ca/files/images/Tri-Du%202020_0.pdf"" target=""_blank"" rel=""noopener noreferrer"">here</a>

<strong>Event Details</strong>
<ul>
 	<li>Setup on Friday, March 6 from 10am - 7pm</li>
 	<li>Takedown immediately following the event to 7:30pm</li>
 	<li>Attendance:  850 Participants, 140 spectators</li>
 	<li>Annual UBC Recreation event for the university community</li>
 	<li>Hawthorn Place will be a quiet zone with no water zones or spectators</li>
 	<li>Food will be provided to the participants</li>
 	<li>Sound system will be used at levels heard in the immediate area</li>
 	<li>For further information or to register, click <a href=""http://www.recreation.ubc.ca/intramurals/events/ubc-tri-du/"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
</ul>
<img class=""alignnone size-large wp-image-6281"" src=""https://www.myuna.ca/wp-content/uploads/2019/01/TriDuMap-1024x515.jpg"" alt="""" width=""1024"" height=""515"" />"
6290,"UBC REC Storm the Wall","Date
<div class=""date""><span class=""date-display-range""><span class=""date-display-start"">March 21, 2020 - 08:00</span> to <span class=""date-display-end"">March 24, 2020 - 20:00</span></span></div>
Location: UBC Pool, University Commons, University Boulevard and Main Mall from Agricultural Road to Agronomy Road

To print the event details and map, click <a href=""https://planning.ubc.ca//sites/planning.ubc.ca/files/images/Storm%20the%20Wall%202020%20Event%20notification.pdf"">here</a>

<strong>Event Details</strong>

Annual UBC Recreation event - Swim, Sprint, Cycle, Run, Over the 12 foot Wall

Wall setup will occur March 9 to 13

Wall clinics occur March 15 to 19

Takedown immediately following the event to 5pm on March 26

Anticipated  4,000 participants

There are no road closures associated with this event.

Pedestrians and cyclists will be detoured around the routes and accommodated across the routes at key locations when there are gaps in runners

The cycle route will be closed off for participant use only - a detour will be provided around the route for campus pedestrians and cyclists.

Event volunteers will be positioned on the route to provide access to buildings on Main Mall

For further event details or to register, please click <a href=""http://www.recreation.ubc.ca/stormthewall/"">here</a>.

<img class=""alignnone wp-image-6298 size-large"" src=""https://www.myuna.ca/wp-content/uploads/2019/01/STWPedestriancrossingroute-1024x585.jpg"" alt="""" width=""1024"" height=""585"" />"
6327,"MoveYOUth: Dodgeball Tournament (Age 12-18)","According to the ParticipACTION 2018 report card only 35% of youth (ages 5 to 17 years) are reaching their suggested physical activity levels outlined in the Canadian 24-hour Movement Guidelines. Youth need more opportunities to get active, and YOUth have the answer!

Join us at the Wesbrook Community Centre for a free by-youth, for-youth Co-Ed Dodgeball Tournament. Prizes will be awarded to teams and players demonstrating good sportsmanship, teamwork, inclusivity and attitude. Following the tournament, free refreshments and snacks will be provided.

Participants are encouraged to register as an individual, small group or full team. Make sure to register and arrive on time to ensure your space in the tournament.

The maximum number of participants per team is 10 members. To register, please email <a href=""mailto:volunteer@myuna.ca"">volunteer@myuna.ca</a> with your name, and age. If registering a full team, include the names of all participants."
6330,"MoveYOUth: Basketball Tournament (Age 12-18)","According to the ParticipACTION 2018 report card only 35% of youth (ages 5 to 17 years) are reaching their suggested physical activity levels outlined in the Canadian 24-hour Movement Guidelines. Youth need more opportunities to get active, and YOUth have the answer!

Join us at the Wesbrook Community Centre for a free by-youth, for-youth Co-Ed Basketball Tournament. Prizes will be awarded to teams and players demonstrating good sportsmanship, teamwork, inclusivity and attitude. Following the tournament, free refreshments and snacks will be provided.

Participants are encouraged to register as an individual, small group or full team. Make sure to register in advance and arrive on time to ensure your space in the tournament.

The maximum number of participants per team is 7 members. To register, please email <a href=""mailto:volunteer@myuna.ca"">volunteer@myuna.ca</a> with your name, and age. If registering a full team, include the names of all participants."
6332,"How to Find Balance in Your Child's Gaming","Connect community members, share cultural experiences and discuss topics of common concern. Organized by the UNA Multicultural Committee and facilitated by invited speakers. Registration is required.

Topic: How to Find Balance in Your Child's Gaming

Speaker: David Hahn"
6339,"Movement Through Gardening","Growing your own food has immeasurable benefits. It gets your body moving, it has incredible benefits to your mental health, and of course you get to enjoy nutritious vegetables. Think you don't have the right space to grow your own food? Think again! Whether your space is small, shady, on a balcony, or has poor soil, you'll learn how to make the best of your challenging growing situation and produce your own delicious veggies all season long!

Mik Turje has been working in community food and agriculture for over a decade. First as a small-scale organic farmer on Vancouver Island and in Richmond where they grew a variety of veggies for farmers markets, CSA's and high-end grocery stores. Then as a community development worker in the Food and Urban Agriculture movement. Mik was the Urban Agriculture Coordinator at The Stop Community Food Centre in Toronto for many years, where they taught a full slate of gardening workshops and mentored new gardeners. Mik now runs a small food security organization in Renfrew-Collingwood.

This workshop is hosted by the University Neighbourhoods Association.

This event is free and no registration is required."
6341,"Sportball Parent & Tot","<div class=""_63eu"">
<div class=""_63ew"" data-testid=""event-permalink-details"">

We are hosting special Parent and Tot sessions as part of MoveUBC!

Sportball coaches will introduce toddlers to fundamental skills and physical literacy through a series of games and activities. Regular Parent &amp; Tot activities will still be held and participants can flow freely between the activities.

Regular drop-in rates apply ($3.50 per child or $12.50/5 sessions).

</div>
</div>"
6344,"Tax Filing 101 (English)","Join us for a free information session which will teach you the basics on tax filing! The session will provide an overview of income tax guide and forms. Topics covered will include basic review of income inclusion, allowable deductions, non-refundable tax credits and basic federal and provincial tax calculations. Register to reserve your spot!

<strong>English Session:</strong> March 12
<strong>Mandarin Session:</strong> March 14"
6347,"Tax Filing 101 (Mandarin)","Join us for a free information session which will teach you the basics on tax filing! The session will provide an overview of income tax guide and forms. Topics covered will include basic review of income inclusion, allowable deductions, non-refundable tax credits and basic federal and provincial tax calculations. Register to reserve your spot!

<strong>English Session:</strong> March 12
<strong>Mandarin Session:</strong> March 14"
6352,"Art of Chinese Calligraphy (Mandarin Session)","<strong>Please Note:</strong> This session will be conducted in Mandarin.

With over 10 years of experience teaching Chinese calligraphy and editing major Chinese language dictionaries, Bin Zhou will make a visual presentation about the traditions and development of each calligraphic style and their relations to Chinese history. Bin Zhou has a Master Degree in calligraphy from Capital Normal University. She is a member of Beijing Arts Association and the President of Meiyan Arts Education School in Beijing."
6357,"Red Cross Babysitting Course","So you want to be a babysitter? Or, your parents want you to take this course so they feel confident leaving you at home alone? Babysitting with First Aid Hero emphasizes learning through real life scenarios. Covered in this course: Creating Safe Environments, Safely Caring for ages 0-12, First Aid Skills. Please bring a lunch and a yoga mat."
6361,"Discover Japan","Have you ever wanted to travel to Japan, but don’t know where to start? This free workshop is designed to teach you everything you need to know to plan your trip from Vancouver to Japan! Speaker Kenta Nakagawa, a former teacher in Japan, will share his knowledge of the country including culture, food, things to do, must- see attractions and other important travel tips. Registration is required."
6373,"Nocturnal: Prehistoric B.C.","What was life like in British Columbia before humans arrived?

Spend a night exploring the story of this land, from how it was shaped by the pull of tectonic plates, to the dinosaurs and woolly mammoths that have walked its changing surface.

You'll never see B.C. quite the same way again!

<em>The museum will be open for admission by donation from 5pm to 8:30pm. Check the event link for an up to date schedule.</em>"
6389,"Get Up to Get Down","In partnership with moveUBC and lululemon, we are excited to be hosting this combined event! It is open for all levels, and variations will be recommended to meet your fitness abilities.

<b>Get UP:</b>
The first part will be focused on non equipment functional strength training lead by lululemon ambassadors, Bret and Phil from Session Athletics.

<b>Get DOWN:</b>
Relax after a good workout with some basic yoga postures and mental techniques with Andrew Clements. This portion is designed to leave you feeling relaxed and energized.

Join us early (10:00 am) for conference style presentations in physical activity, health and wellness, and kinesiology - from current UBC graduate students. There will also be Kombucha sampling and other booths before and after the event."
6414,"Sportball Parent & Tot","We are hosting special Parent and Tot sessions as part of MoveUBC!

Sportball coaches will introduce toddlers to fundamental skills and physical literacy through a series of games and activities. Regular Parent &amp; Tot activities will still be held and participants can flow freely between the activities.

Regular drop-in rates apply ($3.50 per child or $12.50/5 sessions)."
6418,"English Corner","<div>English Corner is a free and informal way to improve your conversational english! English Corner allows newcomers to practice communicating in English, make new friends, and together find opportunities to contribute to the wellbeing of the community. Every Friday, participants come together at the Wesbrook Welcome Center to discuss a meaningful topic with the help of trained volunteers. If you are looking for friendly people &amp; a warm community, don't hesitate to join us!</div>
<div></div>
<div></div>
<div></div>
<div></div>"
6454,"UNA Bylaw Review","The UNA Board of Directors would like to invite the UNA community to a presentation and an open forum discussion. The Bylaw Review Committee will present their recommendations, and then a moderated open forum will follow.

The meeting will take place in the meeting rooms 1 &amp; 2, on the second floor of the Old Barn Community Centre."
6568,,
6574,"James Bay Concert","JAMES BAY Electric Light Tour

With guest Noah Kahan

Sunday, March 31, 2019
All Ages / Reserved Stands / General Admission Floor
Doors: 7:00pm / Show: 8:00pm
Get Tickets: <a href=""http://bit.ly/jamesbay-tickets"">http://bit.ly/jamesbay-tickets</a>

Tickets: $35.00, $49.50, $69.50  (Incl. GST) + s/c

See James Bay live in concert for his Electric Light Tour with special guest Noah Kahan on March 31 2019 at the Doug Mitchell Thunderbird Sports Centre."
6583,"The 1975 Concert","THE 1975
With guests Pale Waves and New Rome

Friday, April 26
DOUG MITCHELL THUNDERBIRD SPORTS CENTRE, Vancouver
All Ages / General Admission Floor / Reserved Seating
Doors: 6:00pm / Show: 7:00pm
Tickets: <a href=""http://bit.ly/ubc-tickets-1975"" target=""_blank"" rel=""noopener"">http://bit.ly/ubc-tickets-1975</a>

Tickets: $45.00, $59.50, $69.50 (Incl. GST) + s/c"
6656,"Trot for Tots","The Trot for Tots is our annual charity run to raise awareness for child poverty in BC and to help local elementary schools like Captain James Cook Elementary School by purchasing resources they need to help provide a quality education.

Participants may choose to participate in 1 of 4 races, then choose to run 1, 3, 5 (or more) kilometres within their allocated time of the race. Pledge forms are available &amp; highly encouraged!

Admission: By donation (min. donation $2).
Participants who collect pledge donations get for FREE!
Members get in for FREE!

**This year, we will also have a fun fair aspect to our charity run, with FREE ADMISSION! Children and parents are particularly invited to attend the fun fair! **"
6691,"Turn it Up and Disrupt","a festival celebrating gender equity + creative mobilization + the art of positive change

This International Women’s Day, take part in an exciting festival that will inspire, educate and mobilize our community to creatively tackle gender-based inequities, and bring about positive change.

Explore creative expression through three dynamic days of intersectional feminist discussions, performances, workshops and art exhibits. To see our full line-up of events, and buy tickets, please visit our website: <a href=""https://www.arts.ubc.ca/artsandculture/arts-and-culture-events/turn-it-up-and-disrupt/"">https://www.arts.ubc.ca/artsandculture/arts-and-culture-events/turn-it-up-and-disrupt/</a>"
6752,"UTown@UBC Nature Club","Drop in between 10:30 am – 1:00 pm the first Sunday of the month to enjoy special ecosystem activities for families plus all of our regular museum programming, Raising Big Blue movie, museum tours, and more!

These drop-in sessions are FREE for UNA residents and are designed for children 5-12 years old accompanied by an adult (not suitable for preschool-aged children).

<a href=""https://www.eventbrite.ca/e/utown-ubc-nature-club-2018-2019-tickets-48248059244"">Pre-register here to guarantee your spot</a> at these activities!"
6753,"HOLI 2019","<img class=""alignnone size-large wp-image-6757"" src=""https://www.myuna.ca/wp-content/uploads/2019/03/HOLI-2019-1024x791.jpg"" alt="""" width=""1024"" height=""791"" />"
6762,"Mason Bee Nest Making Workshop (All Ages)","<div>
<div>
<div><span style=""font-family: Proxima Nova Rg;"">Want to help contribute to the local biodiversity in your community? Come to this fun hands-on workshop, where you will build your own mason bee nest that can be installed at home, or in a community garden plot! This is a great workshop for all ages.[dt_gap height=""10"" /]</span></div>
</div>
</div>
<div><span style=""font-family: Proxima Nova Rg;"">Richard and Jilian Scarth, members of the UNA Community, are both extremely passionate about education and inspiring kids and residents to learn more about and become actively involved in the success of these extremely important local critters.[dt_gap height=""10"" /]</span></div>
<div><span style=""font-family: Proxima Nova Rg;"">Adults and kids welcome! All children must be accompanied by an adult.[dt_gap height=""10"" /]</span></div>
<div><span style=""font-family: Proxima Nova Rg;"">Please register for the workshop <a href=""https://ca.apm.activecommunities.com/myunarecreation/Activity_Search/5738"">here.[dt_gap height=""10"" /]</a></span></div>
<div></div>
<div>
<div><span style=""font-family: Proxima Nova Rg;""><b>Time &amp; Date</b></span></div>
<div><span style=""font-family: Proxima Nova Rg;"">1:00 - 3:00</span></div>
<div><span style=""font-family: Proxima Nova Rg;"">Saturday, March 16th[dt_gap height=""10"" /]</span></div>
<div></div>
</div>
<div><strong><span style=""font-family: Proxima Nova Rg;"">Location</span></strong></div>
<div><span style=""font-family: Proxima Nova Rg;"">Meeting Room 2</span></div>
<div><span style=""font-family: Proxima Nova Rg;"">Old Barn Community Centre</span></div>"
6769,"Nocturnal Science Slam: Women in STEM","For our next Nocturnal we’re thrilled to be teaming up with <a href=""http://litscience.ca/scislamca/"">Science Slam Vancouver</a> to celebrate Women’s History Month! A host of intrepid speakers will be giving lightning talks on some brilliant women in science, technology, engineering and maths.  <a href=""https://www.facebook.com/events/1115201068641598/"">Let us know on Facebook</a> if you’ll be joining us! Admission by donation. Cash bar and free appetizers."
6772,"Spring Break at the Beaty","Join us this Spring Break for a different hands-on activity every day, brought to you by volunteers, staff, curators, and special guests.

From identifying incredible insects to art, games, crafts, and activities, you’ll be a biodiversity pro in no time! Learn more about the language of the forest at Talkative Trees, meet some of the museum's water-dwelling neighbours at our Pond Poke and find out just why animals evolved to be so diverse at Adaptation Exploration!

Check out our full schedule of events:
<a href=""https://bit.ly/beatyspringbreak?fbclid=IwAR2lzqUbcicQNlLwo_D83A8K56_TJswJy4XzgLOy2AZEU5x2dt1UXoq5WqQ"" target=""_blank"" rel=""nofollow noopener"">http://bit.ly/beatyspringbreak</a>

All activities are open to all ages and are included with membership or admission on a drop-in basis, unless otherwise noted.

<strong>The museum is closed on Mondays.</strong>"
6782,"UBC Botanical Garden: Pruning for Professionals Workshop","Do you want to learn how to prune according to professional standards or need to brush up on basic pruning techniques? This class is designed for nursery and landscape professionals and students in the trade.

The goal of the workshop is to offer practical pruning skills offered by industry experts that can be implemented right away. Proper pruning skills are vital to field crews. Improve your company’s bottom line by sending out field crews who understand the nuances of pruning.

<strong>Horticulture Training Professional Workshop Series:
</strong><a href=""https://botanicalgarden.ubc.ca/news-events/events-activities/plant-id-for-professionals/"">Plant ID for Professionals Workshop (March 20)</a>
<a href=""https://botanicalgarden.ubc.ca/news-events/events-activities/propagation-for-professionals-workshop/"">Propagation for Professionals Workshop (March 23)</a>"
6789,"UBC Botanical Garden: Plant ID for Professionals Workshop","Do you want to sharpen your plant identification skills according to professional standards or have plant ID skills and need to brush up on plant identification specifics? This class is designed for nursery and landscape professionals and students in the trade.

The goal of the workshop is to offer horticulture professionals the opportunity to improve their plant identification skills by learning common morphological traits of selected plants. Plant identification skills are vital to field crews. Improve your company’s bottom line by sending out field crews who understand the nuances of plant identification.

<strong>Horticulture Training Professional Workshop Series:
</strong><a href=""https://botanicalgarden.ubc.ca/news-events/events-activities/pruning-for-professionals/"">Pruning for Professionals Workshop (March 16)</a>
<a href=""https://botanicalgarden.ubc.ca/news-events/events-activities/propagation-for-professionals-workshop/"">Propagation for Professionals Workshop (March 23)</a>"
